Dimensión;Sub-dimensión;Pregunta
Ecosistema ;Colaboración con socios;(ID-001) ¿Se ha definido una estrategia formal para la colaboración con socios externos alineada con la propuesta de valor digital de la fundación? 
Ecosistema ;Colaboración con socios;(ID-003) ¿Cómo se evalúa el valor que los socios estratégicos aportan a la digitalización y modernización de la fundación?
Ecosistema ;Cadena de suministro digital ;(ID-008) ¿Consideras que la digitalización de la cadena de suministro digital* es relevante para tu área?
Ecosistema ;Cadena de suministro digital ;(ID-009) ¿Existen iniciativas estratégicas para digitalizar la cadena de suministro?
Ecosistema ;Innovación Colaborativa;(ID-018) ¿Existe una estrategia formal para fomentar la innovación en colaboración con actores externos?
Ecosistema ;Valor añadido al ecosistema ;(ID-020) ¿Existe una estrategia formal para generar impacto positivo/valor añadido al ecosistema digital externo?
Ecosistema ;Valor añadido al ecosistema ;(ID-026) ¿Qué tan consciente y activa es la contribución de su unidad o rol al ecosistema digital externo de la organización?
Estrategia;Claridad de visión;(ID-027) ¿Existe una visión estratégica formal y compartida sobre el rol de la transformación digital* en el futuro de la fundación?
Estrategia;Claridad de visión;(ID-030) ¿Cómo aplica o percibe en su trabajo la visión que tiene la fundación sobre transformación digital?
Estrategia;Alineación empresarial;(ID-031) ¿Existe una estructura organizacional clara para alinear las iniciativas digitales con los objetivos estratégicos de la compañía?
Estrategia;Inversión estratégica;(ID-035) ¿Existe una política o lineamientos claros que definan cómo se categorizan, priorizan y aprueban las inversiones digitales estratégicas?
Estrategia;Inversión estratégica;(ID-040) ¿Percibe que los recursos (tiempo, presupuesto, herramientas) asignados a iniciativas digitales están justificados y priorizados?
Estrategia;Medición de ROI;(ID-041) ¿Cómo se mide estratégicamente el impacto de las inversiones digitales?
Estrategia;Medición de ROI;(ID-043) ¿Qué procesos existen para medir los beneficios de las iniciativas digitales en su unidad?
Estrategia;Medición de ROI;(ID-046) ¿Existen lineamientos o modelos estándar para presentar casos de negocio tecnológicos que orienten la inversión?
Organización y cultura;Adaptabilidad Organizacional;(ID-050) ¿Qué tan preparado(a) se siente para adaptarse a nuevas herramientas digitales que afecten su trabajo?
Organización y cultura;Cultura de innovación;(ID-052) ¿Cómo se generan, priorizan y evalúan las iniciativas de innovación digital en su área o unidad?
Organización y cultura;Cultura de innovación;(ID-053) ¿Existe un proceso claro para avanzar desde ideas hasta proyectos implementados?
Organización y cultura;Gestión del Talento;(ID-054) ¿En qué medida se incluyen competencias digitales en los perfiles de cargo, matrices de habilidades o procesos de evaluación del desempeño?
Organización y cultura;Gestión del Talento;(ID-058) ¿Recibe apoyo para desarrollar o mejorar sus habilidades digitales?
Organización y cultura;Comunicación Interna;(ID-060) ¿Existe una estrategia organizacional que asegure una comunicación interna de información digital de manera efectiva, clara y oportuna?
Organización y cultura;Comunicación Interna;(ID-062) ¿Quién lidera o coordina la estrategia de comunicación interna de información digital dentro de la fundación?
Organización y cultura;Comunicación Interna;(ID-063) ¿La fundación utiliza procesos, canales o herramientas para facilitar una comunicación interna clara y transversal?
Organización y cultura;Gobernanza Digital;(ID-065) ¿Existe una estructura de gobernanza que defina roles, decisiones y lineamientos para iniciativas digitales?
Organización y cultura;Competencias Digitales;(ID-069) ¿Existe una estrategia para desarrollar competencias digitales en toda la fundación?
Organización y cultura;Competencias Digitales;(ID-072) ¿Tiene oportunidades para actualizar y aplicar sus competencias digitales especializadas?
Operaciones;Automatización de procesos;(ID-087) ¿Existe una estrategia organizacional para automatizar procesos clave mediante tecnología?
Operaciones;Gestión de proyectos digitales;(ID-093) ¿Existe una estrategia institucional para gestionar proyectos digitales de forma estructurada y transversal?
Operaciones;Gestión de proyectos digitales;(ID-095) ¿Existen mecanismos estructurados para recoger necesidades digitales desde las distintas áreas del negocio?
Operaciones;Gestión de proyectos digitales;(ID-100) ¿Cómo se realiza el seguimiento del impacto de los casos digitales ejecutados dentro de la organización?
Operaciones;Analítica de operaciones;(ID-104) ¿Qué tan integrada está la analítica de operaciones en la toma de decisiones estratégicas de la organización?
Tecnología;Infraestructura Tecnológica;(ID-115) ¿Existe una estrategia organizacional para mantener y escalar la infraestructura tecnológica en función de los desafíos digitales?
Tecnología;Arquitectura de soluciones;(ID-120) ¿Existe una estrategia que defina principios y lineamientos para el diseño, desarrollo e integración de sistemas en la organización?
Tecnología;Arquitectura de soluciones;(ID-124) ¿Existe una estrategia definida para escalar o evolucionar la arquitectura tecnológica en línea con la estrategia empresarial?
Tecnología;Arquitectura de soluciones;(ID-125) ¿Existe una estrategia para gestionar riesgos digitales y asegurar la protección de la información en la organización?
Tecnología;Adopción de la nube;(ID-132) ¿Existe una estrategia definida para la adopción de servicios en la nube en la organización?
Tecnología;Integración de sistemas;(ID-134) ¿Sus sistemas actuales están integrados entre sí?
Tecnología;Integración de sistemas;(ID-135) ¿Existen barreras para compartir datos entre áreas?
Datos ;Arquitectura de Datos;(ID-136) ¿Existe una estrategia organizacional para estructurar y proteger los datos que generan o utilizan dentro de la fundación?
Datos ;Disponibilidad y confiabilidad de datos;(ID-139) ¿Qué mecanismos existen para garantizar la disponibilidad y calidad de los datos clave para la toma de decisiones?
Datos ;Analítica de datos;(ID-141) ¿Qué tan sistemático y estratégico es el uso del análisis de datos en su unidad para identificar oportunidades o tomar decisiones relevantes?
Experiencia del Usuario Interno ;Interacción Omnicanal;(ID-144) ¿Cómo se asegura una experiencia digital coherente y conectada para los colaboradores en todos los canales y plataformas?
Experiencia del Usuario Interno ;Personalización digital;(ID-145) ¿Qué nivel de personalización digital se entrega actualmente a los colaboradores según su rol, funciones o necesidades?
Experiencia del Usuario Interno ;Feedback;(ID-146) ¿Cómo se gestiona el feedback digital de los colaboradores respecto a las plataformas y herramientas que utilizan?
Experiencia del Usuario Interno ;Autonomía;(ID-147) ¿Qué grado de autonomía digital tienen los equipos en la toma de decisiones operativas o uso de herramientas digitales?
Experiencia del Usuario Interno ;Optimización del journey;(ID-148) ¿Cuál es el nivel de conocimiento y optimización del journey digital del colaborador dentro de la organización?
Experiencia del Usuario Externo;Interacción Omnicanal;(ID-156) ¿Cómo se gestiona la estrategia digital para garantizar una experiencia omnicanal fluida y coherente para el usuario externo?
Experiencia del Usuario Externo;Personalización digital;(ID-157) ¿Qué nivel de personalización digital se entrega al usuario externo en los servicios o comunicaciones digitales?
Experiencia del Usuario Externo;Feedback;(ID-158) ¿Qué procesos existen para recoger y utilizar el feedback digital de los usuarios externos?
Experiencia del Usuario Externo;Autonomía;(ID-159) ¿Qué tan preparada está la organización para ofrecer experiencias digitales de autogestión efectivas al usuario externo?
Experiencia del Usuario Externo;Optimización del journey;(ID-160) ¿Cómo se analiza y optimiza la experiencia digital del usuario externo a lo largo de todos sus puntos de contacto?
na;na;¿Perteneces al área de Tecnología e Innovación?
